Date,Cases,Cases Moving Average,Cases Cumulative,Rate of Cases,Rate of Daily Cases,Deaths,Deaths Moving Average,Deaths Cumulative,Face_Masks_Required_in_Public_Color,Rate of Infection,Rate of Daily Infection
2020-02-01,0.0,,0.0,,,0.0,,0.0,green,,0.0
2020-02-02,0.0,,0.0,,0.0,0.0,,0.0,green,,0.0
2020-02-03,0.0,,0.0,,0.0,0.0,,0.0,green,,0.0
2020-02-04,0.0,,0.0,,0.0,0.0,,0.0,green,,0.0
2020-02-05,0.0,,0.0,,0.0,0.0,,0.0,green,,0.0
2020-02-06,0.0,,0.0,,0.0,0.0,,0.0,green,,0.0
2020-02-07,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-03-10,1.0,0.0,1.0,0.0,6.235203083682038e-05,0.0,0.0,0.0,green,0.0,6.235206971460211e-05
2020-03-11,0.0,0.0,1.0,0.0,-6.235203083682038e-05,0.0,0.0,0.0,green,0.0,0.0
2020-03-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,green,0.0,0.0
2020-03-13,2.0,0.0,3.0,0.0,0.00012470406167364075,0.0,0.0,0.0,green,0.0,0.00012470429494062203
2020-03-14,1.0,1.0,4.0,6.235203083682038e-05,-6.235203083682038e-05,0.0,0.0,0.0,green,6.235218634823821e-05,6.235218634823821e-05
2020-03-15,0.0,1.0,4.0,0.0,-6.235203083682038e-05,0.0,0.0,0.0,green,6.235218634823821e-05,0.0
2020-03-16,6.0,1.0,10.0,0.0,0.0003741121850209222,0.0,0.0,0.0,green,6.235241961681944e-05,0.00037411451770091663
2020-03-17,9.0,3.0,19.0,0.00012470406167364075,0.0001870560925104611,0.0,0.0,0.0,green,0.0001870583085688917,0.0005611749257066752
2020-03-18,15.0,5.0,34.0,0.00012470406167364075,0.0003741121850209222,0.0,0.0,0.0,green,0.00031176676354299234,0.0009353002906289771
2020-03-19,10.0,6.0,44.0,6.235203083682038e-05,-0.00031176015418410186,0.0,0.0,0.0,green,0.00037412244903049286,0.0006235374150508214
2020-03-20,23.0,9.0,67.0,0.0001870560925104611,0.0008105764008786648,0.0,0.0,0.0,green,0.0005611917217985571,0.0014341566223740904
2020-03-21,18.0,12.0,85.0,0.0001870560925104611,-0.00031176015418410186,0.0,0.0,0.0,green,0.0007482640274563013,0.001122396041184452
2020-03-22,11.0,13.0,96.0,6.235203083682038e-05,-0.0004364642158577426,0.0,0.0,0.0,green,0.0008106249232244665,0.0006859133965745485
2020-03-23,79.0,24.0,175.0,0.0006858723392050241,0.004239938096903785,0.0,0.0,0.0,green,0.0014966120444842987,0.004926347979760816
2020-03-24,77.0,33.0,252.0,0.0005611682775313833,-0.00012470406167364075,0.0,0.0,0.0,green,0.002057940375854747,0.004801860876994409
2020-03-25,90.0,44.0,342.0,0.0006858723392050241,0.0008105764008786648,1.0,0.0,1.0,green,0.0027440762254483135,0.005612883188417004
2020-03-26,133.0,62.0,475.0,0.0011223365550627666,0.002681137325983276,0.0,0.0,1.0,green,0.0038669736128947355,0.008295282105080641
2020-03-27,162.0,81.0,637.0,0.001184688585899587,0.0018082088942677906,1.0,0.0,2.0,green,0.005052527573701407,0.010105055147402814
2020-03-28,166.0,103.0,803.0,0.0013717446784100482,0.0002494081233472815,3.0,1.0,5.0,green,0.006425496369594551,0.010355654343230054
2020-03-29,87.0,113.0,890.0,0.0006235203083682037,-0.004925810436108809,3.0,1.0,8.0,green,0.007049726776297197,0.00542766574812262
2020-03-30,182.0,128.0,1072.0,0.0009352804625523056,0.005923442929497935,0.0,1.0,8.0,green,0.007986438029920441,0.011355716573793128
2020-03-31,243.0,152.0,1315.0,0.0014964487400836888,0.0038034738810460425,2.0,1.0,10.0,green,0.009485345141755988,0.015164071509517795
